roll no | spi_1  |  spi_2  |  cpi  |
240449  |  8.81  |  7.33  |  8.11  | 
240298  |  7.94  |  8.30  |  8.11  | 
240423  |  8.17  |  8.02  |  8.10  | 
240484  |  8.00  |  8.19  |  8.10  | 
240665  |  7.96  |  8.23  |  8.10  | 
240265  |  7.46  |  8.67  |  8.08  | 
240015  |  8.31  |  7.80  |  8.07  | 
240175  |  7.77  |  8.39  |  8.06  | 
240916  |  7.35  |  8.69  |  8.06  | 
240066  |  7.58  |  8.59  |  8.05  | 
240941  |  7.93  |  8.15  |  8.05  | 
241067  |  8.09  |  8.00  |  8.04  | 
240146  |  8.42  |  7.59  |  8.03  | 
240790  |  7.98  |  8.08  |  8.03  | 
241061  |  7.24  |  8.73  |  8.03  | 
240446  |  7.39  |  8.58  |  8.02  | 
240972  |  7.33  |  8.63  |  8.02  | 
240980  |  8.35  |  7.73  |  8.02  | 
241079  |  7.54  |  8.44  |  8.02  | 
241179  |  7.89  |  8.13  |  8.02  | 
240088  |  7.73  |  8.33  |  8.01  | 
240888  |  8.29  |  7.74  |  8.01  | 
240890  |  7.80  |  8.19  |  8.01  | 
240904  |  7.50  |  8.46  |  8.01  | 
240354  |  8.25  |  7.76  |  8.00  | 
240441  |  8.48  |  7.46  |  8.00  | 
240065  |  8.08  |  7.91  |  8.00  | 
240131  |  7.13  |  8.96  |  7.99  | 
240866  |  7.43  |  8.48  |  7.99  | 
241039  |  8.04  |  7.94  |  7.99  | 
241071  |  7.70  |  8.25  |  7.99  | 
241124  |  8.24  |  7.77  |  7.99  | 
240217  |  7.79  |  8.20  |  7.98  | 
240775  |  7.41  |  8.48  |  7.98  | 
240436  |  8.77  |  7.07  |  7.97  | 
240314  |  8.06  |  7.87  |  7.97  | 
240528  |  8.04  |  7.90  |  7.97  | 
240918  |  7.26  |  8.60  |  7.97  | 
241020  |  7.83  |  8.10  |  7.97  | 
241090  |  7.52  |  8.35  |  7.96  | 
240252  |  8.19  |  7.67  |  7.95  | 
240684  |  8.06  |  7.83  |  7.95  | 
240791  |  7.93  |  7.96  |  7.95  | 
241113  |  7.41  |  8.42  |  7.95  | 
241144  |  7.91  |  7.98  |  7.95  | 
241153  |  7.46  |  8.38  |  7.95  | 
240409  |  8.33  |  7.50  |  7.94  | 
240471  |  8.38  |  7.43  |  7.94  | 
240319  |  7.79  |  8.09  |  7.94  | 
241183  |  7.29  |  8.15  |  7.94  | 
240170  |  7.96  |  7.89  |  7.93  | 
240678  |  7.78  |  8.06  |  7.93  | 
241143  |  7.80  |  8.04  |  7.93  | 
240499  |  7.60  |  8.28  |  7.92  | 
240222  |  7.92  |  7.91  |  7.92  | 
241195  |  7.48  |  8.31  |  7.92  | 
240515  |  8.31  |  7.46  |  7.91  | 
241149  |  7.74  |  8.06  |  7.91  | 
240280  |  8.15  |  7.61  |  7.90  | 
240628  |  7.37  |  8.37  |  7.90  | 
240639  |  7.65  |  8.12  |  7.90  | 
241205  |  7.85  |  7.94  |  7.90  | 
240077  |  7.73  |  8.07  |  7.89  | 
240637  |  7.80  |  7.96  |  7.89  | 
240909  |  7.63  |  8.12  |  7.89  | 
240973  |  7.54  |  8.19  |  7.89  | 
241006  |  7.89  |  7.88  |  7.89  | 
241156  |  7.80  |  7.96  |  7.89  | 
240320  |  7.69  |  8.09  |  7.88  | 
240543  |  7.00  |  8.09  |  7.88  | 
240651  |  8.20  |  7.60  |  7.88  | 
241019  |  7.67  |  8.06  |  7.88  | 
241029  |  7.74  |  8.00  |  7.88  | 
241118  |  7.48  |  8.23  |  7.88  | 
240365  |  7.98  |  7.74  |  7.87  | 
240582  |  7.60  |  8.17  |  7.87  | 
240864  |  7.65  |  8.06  |  7.87  | 
241075  |  8.21  |  7.54  |  7.87  | 
240271  |  7.35  |  8.43  |  7.86  | 
240361  |  7.65  |  8.09  |  7.86  | 
240425  |  7.88  |  7.83  |  7.86  | 
240526  |  7.40  |  8.37  |  7.86  | 
240150  |  7.37  |  8.41  |  7.86  | 
240701  |  7.09  |  8.54  |  7.86  | 
240797  |  7.72  |  7.98  |  7.86  | 
240799  |  7.91  |  7.81  |  7.86  | 
240928  |  7.61  |  8.08  |  7.86  | 
240027  |  7.63  |  8.09  |  7.85  | 
240559  |  7.71  |  8.00  |  7.85  | 
240165  |  9.00  |  7.57  |  7.84  | 
240583  |  7.33  |  8.29  |  7.84  | 
240594  |  7.24  |  8.37  |  7.84  | 
241047  |  8.19  |  7.50  |  7.84  | 
241188  |  7.09  |  8.50  |  7.84  | 
240483  |  7.81  |  7.85  |  7.83  | 
240644  |  8.02  |  7.65  |  7.83  | 
240838  |  7.83  |  7.83  |  7.83  | 
241017  |  7.52  |  8.08  |  7.82  | 
241190  |  7.98  |  7.67  |  7.82  | 
241208  |  7.61  |  8.00  |  7.82  | 
241214  |  8.21  |  7.44  |  7.82  | 
240764  |  7.79  |  7.82  |  7.81  | 
240182  |  7.77  |  7.85  |  7.81  | 
241136  |  7.24  |  8.31  |  7.81  | 
241177  |  7.98  |  7.65  |  7.81  | 
240984  |  7.65  |  7.92  |  7.80  | 
