roll no | spi_1  |  spi_2  |  cpi  |
240589  |  7.61  |  9.02  |  8.36  | 
240760  |  9.59  |  9.02  |  9.29  | 
241107  |  8.57  |  9.02  |  8.81  | 
241140  |  8.61  |  9.02  |  8.83  | 
241011  |  9.30  |  9.00  |  9.14  | 
240707  |  9.17  |  8.96  |  9.06  | 
240131  |  7.13  |  8.96  |  7.99  | 
240263  |  8.31  |  8.96  |  8.61  | 
240761  |  8.54  |  8.96  |  8.77  | 
240970  |  8.09  |  8.96  |  8.55  | 
240766  |  8.85  |  8.94  |  8.90  | 
240128  |  8.40  |  8.93  |  8.65  | 
240017  |  9.31  |  8.93  |  9.13  | 
240638  |  7.94  |  8.92  |  8.44  | 
240940  |  8.22  |  8.92  |  8.59  | 
240666  |  8.26  |  8.90  |  8.60  | 
240880  |  9.00  |  8.90  |  8.95  | 
240906  |  9.29  |  8.90  |  9.00  | 
241162  |  7.48  |  8.90  |  8.23  | 
240570  |  9.10  |  8.89  |  9.00  | 
240569  |  9.22  |  8.88  |  9.04  | 
240071  |  7.75  |  8.87  |  8.28  | 
241212  |  8.11  |  8.87  |  8.51  | 
240189  |  9.08  |  8.85  |  8.97  | 
240567  |  8.70  |  8.85  |  8.78  | 
240588  |  8.63  |  8.85  |  8.74  | 
240652  |  8.39  |  8.85  |  8.63  | 
240787  |  7.37  |  8.85  |  8.15  | 
240055  |  8.29  |  8.83  |  8.54  | 
240442  |  7.92  |  8.83  |  8.35  | 
240706  |  8.17  |  8.83  |  8.52  | 
241116  |  7.80  |  8.83  |  8.35  | 
240653  |  6.11  |  8.81  |  7.54  | 
241151  |  6.48  |  8.81  |  7.71  | 
240402  |  8.63  |  8.80  |  8.71  | 
240451  |  9.60  |  8.80  |  9.22  | 
240168  |  8.35  |  8.80  |  8.56  | 
240687  |  8.63  |  8.79  |  8.71  | 
241027  |  8.80  |  8.79  |  8.80  | 
240147  |  8.40  |  8.78  |  8.58  | 
240662  |  9.04  |  8.77  |  8.90  | 
240788  |  8.98  |  8.77  |  8.87  | 
240346  |  8.04  |  8.76  |  8.38  | 
240645  |  7.78  |  8.75  |  8.30  | 
241000  |  8.35  |  8.75  |  8.56  | 
240516  |  9.35  |  8.74  |  9.06  | 
240867  |  7.76  |  8.73  |  8.28  | 
241061  |  7.24  |  8.73  |  8.03  | 
240172  |  8.85  |  8.72  |  8.79  | 
240290  |  8.33  |  8.72  |  8.51  | 
240210  |  7.67  |  8.72  |  8.16  | 
